name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.gym_codes,48 kB,80 kB,128 kB,1,28
public.master_codes,16 kB,80 kB,96 kB,0,1
public.gym_invites,16 kB,64 kB,80 kB,0,0
public.profiles,48 kB,16 kB,64 kB,1,1265
public.gym_admins,8192 bytes,48 kB,56 kB,0,0
public.routes,24 kB,32 kB,56 kB,0,570
public.finale_registrations,8192 bytes,48 kB,56 kB,0,0
public.gyms,32 kB,16 kB,48 kB,8,1473
public.results,16 kB,32 kB,48 kB,0,876
public.routes_backup_20260320,40 kB,0 bytes,40 kB,147,0
public.routes_backup_20260320_final,40 kB,0 bytes,40 kB,147,0
public.contact_requests,16 kB,16 kB,32 kB,0,0
public.change_requests,16 kB,16 kB,32 kB,0,2
public.admin_settings,16 kB,16 kB,32 kB,0,317
public.gyms_backup_20260320,16 kB,0 bytes,16 kB,10,0
public.gyms_backup_20260320_final,16 kB,0 bytes,16 kB,9,0
public.profile_overrides,8192 bytes,8192 bytes,16 kB,0,2
